numero_residuo,nome_residuo,nome_atomo,numero_atomo,x,y,z
1,SOL,OW,1,1.667,0.803,0.218
1,SOL,HW1,2,1.707,0.771,0.299
1,SOL,HW2,3,1.593,0.856,0.248
1,SOL,MW,4,1.663,0.805,0.23
2,SOL,OW,5,1.59,0.77,1.191
2,SOL,HW1,6,1.566,0.835,1.257
2,SOL,HW2,7,1.683,0.754,1.207
2,SOL,MW,8,1.598,0.775,1.2
3,SOL,OW,9,0.527,1.012,0.476
3,SOL,HW1,10,0.619,1.009,0.502
3,SOL,HW2,11,0.515,1.1,0.44
3,SOL,MW,12,0.535,1.021,0.475
4,SOL,OW,13,1.678,1.751,0.686
4,SOL,HW1,14,1.683,1.722,0.777
4,SOL,HW2,15,1.696,1.672,0.635
4,SOL,MW,16,1.681,1.739,0.69
5,SOL,OW,17,1.049,1.57,1.679
5,SOL,HW1,18,1.093,1.654,1.664
5,SOL,HW2,19,1.088,1.511,1.615
5,SOL,MW,20,1.058,1.573,1.671
6,SOL,OW,21,1.629,1.197,1.173
6,SOL,HW1,22,1.545,1.152,1.167
6,SOL,HW2,23,1.63,1.256,1.098
6,SOL,MW,24,1.62,1.199,1.165
7,SOL,OW,25,0.786,0.454,0.452
7,SOL,HW1,26,0.785,0.544,0.486
7,SOL,HW2,27,0.778,0.465,0.357
7,SOL,MW,28,0.785,0.465,0.445
8,SOL,OW,29,0.23,0.574,0.396
8,SOL,HW1,30,0.308,0.629,0.399
8,SOL,HW2,31,0.244,0.509,0.465
8,SOL,MW,32,0.239,0.573,0.404
9,SOL,OW,33,0.289,0.98,1.35
9,SOL,HW1,34,0.335,0.901,1.378
9,SOL,HW2,35,0.333,1.006,1.269
9,SOL,MW,36,0.298,0.974,1.345
10,SOL,OW,37,0.633,0.238,0.518
10,SOL,HW1,38,0.686,0.317,0.511
10,SOL,HW2,39,0.562,0.25,0.456
10,SOL,MW,40,0.631,0.248,0.511
11,SOL,OW,41,0.748,1.221,0.728
11,SOL,HW1,42,0.83,1.26,0.758
11,SOL,HW2,43,0.774,1.166,0.653
11,SOL,MW,44,0.759,1.219,0.723
12,SOL,OW,45,0.773,1.516,1.612
12,SOL,HW1,46,0.856,1.543,1.652
12,SOL,HW2,47,0.8,1.465,1.535
12,SOL,MW,48,0.785,1.513,1.608
13,SOL,OW,49,0.535,0.669,0.667
13,SOL,HW1,50,0.494,0.601,0.72
13,SOL,HW2,51,0.628,0.664,0.69
13,SOL,MW,52,0.541,0.661,0.675
14,SOL,OW,53,0.86,1.359,1.408
14,SOL,HW1,54,0.869,1.387,1.316
14,SOL,HW2,55,0.819,1.273,1.403
14,SOL,MW,56,0.857,1.353,1.397
15,SOL,OW,57,0.669,0.523,1.092
15,SOL,HW1,58,0.574,0.509,1.09
15,SOL,HW2,59,0.705,0.435,1.092
15,SOL,MW,60,0.662,0.512,1.092
16,SOL,OW,61,0.45,0.91,0.918
16,SOL,HW1,62,0.407,0.931,0.835
16,SOL,HW2,63,0.42,0.978,0.979
16,SOL,MW,64,0.442,0.92,0.916
17,SOL,OW,65,0.137,1.824,0.849
17,SOL,HW1,66,0.219,1.777,0.863
17,SOL,HW2,67,0.094,1.776,0.778
17,SOL,MW,68,0.141,1.814,0.843
18,SOL,OW,69,1.342,1.231,0.252
18,SOL,HW1,70,1.254,1.258,0.224
18,SOL,HW2,71,1.4,1.299,0.218
18,SOL,MW,72,1.339,1.241,0.246
19,SOL,OW,73,0.432,1.385,0.828
19,SOL,HW1,74,0.38,1.464,0.841
19,SOL,HW2,75,0.482,1.401,0.748
19,SOL,MW,76,0.432,1.395,0.821
20,SOL,OW,77,0.924,0.95,0.741
20,SOL,HW1,78,0.85,0.952,0.802
20,SOL,HW2,79,0.962,0.862,0.752
20,SOL,MW,80,0.92,0.941,0.749
21,SOL,OW,81,0.354,1.655,1.531
21,SOL,HW1,82,0.312,1.693,1.454
21,SOL,HW2,83,0.368,1.563,1.508
21,SOL,MW,84,0.351,1.649,1.52
22,SOL,OW,85,0.953,1.239,0.386
22,SOL,HW1,86,0.948,1.317,0.442
22,SOL,HW2,87,0.891,1.178,0.426
22,SOL,MW,88,0.946,1.241,0.396
23,SOL,OW,89,1.785,0.343,0.88
23,SOL,HW1,90,1.701,0.327,0.924
23,SOL,HW2,91,1.781,0.29,0.801
23,SOL,MW,92,1.775,0.336,0.876
24,SOL,OW,93,0.44,0.304,0.346
24,SOL,HW1,94,0.38,0.255,0.289
24,SOL,HW2,95,0.457,0.385,0.298
24,SOL,MW,96,0.435,0.308,0.335
25,SOL,OW,97,0.246,1.224,0.465
25,SOL,HW1,98,0.186,1.285,0.423
25,SOL,HW2,99,0.235,1.142,0.416
25,SOL,MW,100,0.238,1.222,0.456
26,SOL,OW,101,0.934,1.707,0.143
26,SOL,HW1,102,0.906,1.707,0.235
26,SOL,HW2,103,0.874,1.645,0.1
26,SOL,MW,104,0.924,1.7,0.148
27,SOL,OW,105,1.762,0.532,0.116
27,SOL,HW1,106,1.668,0.551,0.113
27,SOL,HW2,107,1.792,0.57,0.199
27,SOL,MW,108,1.755,0.538,0.124
28,SOL,OW,109,1.625,1.135,0.529
28,SOL,HW1,110,1.53,1.141,0.537
28,SOL,HW2,111,1.648,1.203,0.465
28,SOL,MW,112,1.617,1.143,0.523
29,SOL,OW,113,1.483,0.742,1.532
29,SOL,HW1,114,1.532,0.665,1.501
29,SOL,HW2,115,1.391,0.715,1.529
29,SOL,MW,116,1.479,0.731,1.528
