numero_residuo,vetor_1,vetor_2,angulo
1,[ 0.04  -0.032  0.081],[ 0.04  -0.032  0.081],87.2528
2,[-0.024  0.065  0.066],[-0.024  0.065  0.066],87.2577
3,[ 0.092 -0.003  0.026],[ 0.092 -0.003  0.026],87.2595
4,[ 0.005 -0.029  0.091],[ 0.005 -0.029  0.091],87.2585
5,[ 0.044  0.084 -0.015],[ 0.044  0.084 -0.015],87.2485
6,[-0.084 -0.045 -0.006],[-0.084 -0.045 -0.006],87.2638
7,[-0.001  0.09   0.034],[-0.001  0.09   0.034],87.2424
8,[0.078 0.055 0.003],[0.078 0.055 0.003],87.2636
9,[ 0.046 -0.079  0.028],[ 0.046 -0.079  0.028],87.2598
10,[ 0.053  0.079 -0.007],[ 0.053  0.079 -0.007],87.2664
11,[0.082 0.039 0.03 ],[0.082 0.039 0.03 ],87.2589
12,[0.083 0.027 0.04 ],[0.083 0.027 0.04 ],87.2483
13,[-0.041 -0.068  0.053],[-0.041 -0.068  0.053],87.2645
14,[ 0.009  0.028 -0.092],[ 0.009  0.028 -0.092],87.2321
15,[-0.095 -0.014 -0.002],[-0.095 -0.014 -0.002],87.2467
16,[-0.043  0.021 -0.083],[-0.043  0.021 -0.083],87.2542
17,[ 0.082 -0.047  0.014],[ 0.082 -0.047  0.014],87.2611
18,[-0.088  0.027 -0.028],[-0.088  0.027 -0.028],87.2424
19,[-0.052  0.079  0.013],[-0.052  0.079  0.013],87.2645
20,[-0.074  0.002  0.061],[-0.074  0.002  0.061],87.2507
21,[-0.042  0.038 -0.077],[-0.042  0.038 -0.077],87.2607
22,[-0.005  0.078  0.056],[-0.005  0.078  0.056],87.2451
23,[-0.084 -0.016  0.044],[-0.084 -0.016  0.044],87.2444
24,[-0.06  -0.049 -0.057],[-0.06  -0.049 -0.057],87.244
25,[-0.06   0.061 -0.042],[-0.06   0.061 -0.042],87.2682
26,[-0.028  0.     0.092],[-0.028  0.     0.092],87.2444
27,[-0.094  0.019 -0.003],[-0.094  0.019 -0.003],87.2496
28,[-0.095  0.006  0.008],[-0.095  0.006  0.008],87.262
29,[ 0.049 -0.077 -0.031],[ 0.049 -0.077 -0.031],87.2377
30,[-0.047 -0.025  0.08 ],[-0.047 -0.025  0.08 ],87.2461
31,[-0.007  0.095 -0.005],[-0.007  0.095 -0.005],87.2664
32,[ 0.073 -0.036 -0.05 ],[ 0.073 -0.036 -0.05 ],87.262
33,[-0.014 -0.068 -0.066],[-0.014 -0.068 -0.066],87.2548
34,[ 0.008  0.037 -0.088],[ 0.008  0.037 -0.088],87.2546
35,[0.007 0.065 0.07 ],[0.007 0.065 0.07 ],87.2553
36,[ 0.005 -0.089 -0.036],[ 0.005 -0.089 -0.036],87.2444
37,[ 0.004  0.095 -0.007],[ 0.004  0.095 -0.007],87.267
38,[-0.015 -0.094  0.011],[-0.015 -0.094  0.011],87.2535
39,[ 0.03   0.014 -0.09 ],[ 0.03   0.014 -0.09 ],87.2518
40,[-0.031 -0.049 -0.076],[-0.031 -0.049 -0.076],87.2605
41,[0.073 0.062 0.001],[0.073 0.062 0.001],87.2553
42,[ 0.013  0.017 -0.094],[ 0.013  0.017 -0.094],87.237
43,[0.074 0.015 0.059],[0.074 0.015 0.059],87.2535
44,[-0.026  0.003  0.092],[-0.026  0.003  0.092],87.2595
45,[-0.001 -0.048 -0.082],[-0.001 -0.048 -0.082],87.2765
46,[ 0.079  0.048 -0.026],[ 0.079  0.048 -0.026],87.2476
47,[-0.055 -0.078  0.005],[-0.055 -0.078  0.005],87.2614
48,[-0.068 -0.028  0.062],[-0.068 -0.028  0.062],87.2436
49,[-0.036  0.017 -0.088],[-0.036  0.017 -0.088],87.2321
50,[0.073 0.042 0.046],[0.073 0.042 0.046],87.2503
51,[ 0.087 -0.008  0.039],[ 0.087 -0.008  0.039],87.2584
52,[ 0.007 -0.039 -0.087],[ 0.007 -0.039 -0.087],87.2603
53,[-0.066 -0.037  0.059],[-0.066 -0.037  0.059],87.2496
54,[-0.025  0.091  0.015],[-0.025  0.091  0.015],87.2621
55,[-0.04  -0.078  0.038],[-0.04  -0.078  0.038],87.2613
56,[ 0.026 -0.09   0.018],[ 0.026 -0.09   0.018],87.2662
57,[-0.093 -0.006 -0.024],[-0.093 -0.006 -0.024],87.2415
58,[-0.006  0.08  -0.053],[-0.006  0.08  -0.053],87.2451
59,[-0.037  0.041  0.079],[-0.037  0.041  0.079],87.2377
60,[-0.09  -0.018  0.025],[-0.09  -0.018  0.025],87.2734
61,[0.025 0.092 0.002],[0.025 0.092 0.002],87.2678
62,[-0.036  0.087 -0.015],[-0.036  0.087 -0.015],87.267
63,[-0.085 -0.013 -0.041],[-0.085 -0.013 -0.041],87.2704
64,[-0.067  0.056 -0.041],[-0.067  0.056 -0.041],87.2358
65,[0.043 0.08  0.03 ],[0.043 0.08  0.03 ],87.2595
66,[ 0.015 -0.094  0.011],[ 0.015 -0.094  0.011],87.2535
67,[ 0.078 -0.01   0.055],[ 0.078 -0.01   0.055],87.2503
68,[-0.068  0.06   0.03 ],[-0.068  0.06   0.03 ],87.2622
69,[-0.016 -0.087  0.038],[-0.016 -0.087  0.038],87.2412
70,[0.095 0.01  0.009],[0.095 0.01  0.009],87.2496
71,[0.016 0.036 0.088],[0.016 0.036 0.088],87.2366
72,[ 0.006 -0.069  0.066],[ 0.006 -0.069  0.066],87.2586
73,[-0.068 -0.002  0.067],[-0.068 -0.002  0.067],87.2638
74,[ 0.094 -0.011  0.019],[ 0.094 -0.011  0.019],87.2331
75,[ 0.095  0.009 -0.006],[ 0.095  0.009 -0.006],87.2596
76,[ 0.056 -0.068 -0.037],[ 0.056 -0.068 -0.037],87.2611
